ROLL NUMBER,Q1 (5),Q2 (5),Q3 (5),Q4 (5),Q5 (5),Q6 (5),Q7 (5),Q8 (5),Q9 (5),Q10 (5),Q11 (5),Q12 (5),Top 9 (out of 45),Total Marks(x/30)
102003733,0,0,0,0,0,0,3,5,0,0,0,4,12,8.0
102203002,5,0,4,4,4,4,4,3,5,5,5,3,40,26.7
102203003,5,4,4,4,4,5,4,3,4,5,4,2,39,26.0
102203005,0,0,0,0,3,5,3,4,4,5,5,0,29,19.3
102203007,0,0,0,5,4,3,3,5,3,5,5,3,36,24.0
102203008,3,3,5,4,1,4,3,4,5,4,5,5,39,26.0
102203012,0,3,4,4,3,5,4,5,4,5,4,5,40,26.7
102203013,5,2,4,5,4,2,3,2,5,5,5,2,38,25.3
102203014,5,3,4,5,2,5,2,3,5,5,4,4,40,26.7
102203015,5,3,0,0,3,3,5,4,5,5,4,0,37,24.7
102203017,3,2,5,4,3,5,3,4,5,5,5,3,39,26.0
102203020,4,5,4,5,5,4,5,4,5,5,5,5,44,29.3
102203021,5,2,5,4,4,5,5,4,5,5,5,4,43,28.7
102203022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
102203023,5,0,0,5,0,0,4,3,4,0,4,4,29,19.3
102203025,5,2,5,4,2,5,3,4,4,5,5,4,41,27.3
102203026,5,3,4,3,1,2,5,3,3,3,2,1,31,20.7
102203028,4,2,4,5,4,4,4,4,5,4,5,0,39,26.0
102203030,5,3,5,5,3,4,3,4,5,5,4,2,40,26.7
102203031,5,4,4,4,4,4,5,5,5,5,5,5,43,28.7
102203032,4,2,4,5,3,5,5,5,5,5,5,5,44,29.3
102203034,5,0,4,4,3,4,1,4,5,5,4,5,40,26.7
102203035,5,2,4,5,2,4,3,4,5,0,5,5,40,26.7
102203037,5,4,5,3,4,4,4,5,5,4,5,5,42,28.0
102203039,3,4,3,4,4,5,2,4,0,5,0,5,37,24.7
102203040,4,1,3,4,0,3,4,3,4,2,5,3,33,22.0
102203041,5,5,5,4,2,4,5,5,5,5,5,0,44,29.3
102203042,4,0,4,5,4,5,4,4,5,5,4,4,40,26.7
102203043,4,4,5,5,3,3,0,4,3,5,4,5,39,26.0
102203045,4,4,0,4,4,4,4,5,5,5,4,5,40,26.7
102203046,5,4,3,5,4,4,4,3,5,5,5,4,41,27.3
102203047,0,3,4,4,2,5,3,0,5,5,5,4,38,25.3
102203049,5,4,4,4,3,4,4,3,5,5,5,5,41,27.3
102203051,5,3,5,4,4,5,5,4,4,5,5,5,43,28.7
102203052,4,1,4,0,4,4,4,4,5,5,5,3,39,26.0
102203055,5,4,4,4,5,4,4,4,5,5,4,5,41,27.3
102203056,0,4,4,4,0,0,1,4,0,5,0,0,22,14.7
